"customer_id","first_name","last_name"
148,"Eleanor","Hunt"
526,"Karl","Seal"
144,"Clara","Shaw"
75,"Tammy","Sanders"
178,"Marion","Snyder"
236,"Marcia","Dean"
137,"Rhonda","Kennedy"
410,"Curtis","Irby"
459,"Tommy","Collazo"
366,"Brandon","Huey"
5,"Elizabeth","Brown"
29,"Angela","Hernandez"
380,"Russell","Brinson"
469,"Wesley","Bull"
30,"Melissa","King"
38,"Martha","Gonzalez"
91,"Lois","Butler"
129,"Carrie","Porter"
257,"Marsha","Douglas"
348,"Roger","Quintanilla"
373,"Louis","Leone"
468,"Tim","Cary"
66,"Janice","Ward"
181,"Ana","Bradley"
211,"Stacey","Montgomery"
267,"Margie","Wade"
354,"Justin","Ngo"
403,"Mike","Way"
439,"Alexander","Fennell"
15,"Helen","Harris"
21,"Michelle","Clark"
26,"Jessica","Hall"
86,"Jacqueline","Long"
138,"Hazel","Warren"
147,"Joanne","Robertson"
168,"Regina","Berry"
176,"June","Carroll"
197,"Sue","Peters"
198,"Elsie","Kelley"
241,"Heidi","Larson"
342,"Harold","Martino"
360,"Ralph","Madrigal"
372,"Steve","Mackenzie"
381,"Bobby","Boudreau"
454,"Alex","Gresham"
522,"Arnold","Havens"
566,"Casey","Mena"
576,"Morris","Mccarter"
46,"Catherine","Campbell"
78,"Lori","Wood"
119,"Sherry","Marshall"
125,"Ethel","Webb"
141,"Debbie","Reyes"
196,"Alma","Austin"
204,"Rosemary","Schmidt"
230,"Joy","George"
237,"Tanya","Gilbert"
362,"Nicholas","Barfield"
368,"Harry","Arce"
390,"Shawn","Heaton"
406,"Nathan","Runyon"
462,"Warren","Sherrod"
470,"Gordon","Allard"
473,"Jorge","Olivares"
520,"Mitchell","Westmoreland"
532,"Neil","Renner"
550,"Guy","Brownlee"
1,"Mary","Smith"
27,"Shirley","Allen"
28,"Cynthia","Young"
35,"Virginia","Green"
50,"Diane","Collins"
51,"Alice","Stewart"
64,"Judith","Cox"
80,"Marilyn","Ross"
84,"Sara","Perry"
102,"Crystal","Ford"
114,"Grace","Ellis"
120,"Sylvia","Ortiz"
122,"Thelma","Murray"
128,"Marjorie","Tucker"
158,"Veronica","Stone"
172,"Bernice","Willis"
210,"Ella","Oliver"
244,"Viola","Hanson"
254,"Maxine","Silva"
259,"Lena","Jensen"
260,"Christy","Vargas"
346,"Arthur","Simpkins"
347,"Ryan","Salisbury"
405,"Leonard","Schofield"
418,"Jeff","East"
438,"Barry","Lovelace"
451,"Jim","Rea"
494,"Ramon","Choate"
502,"Brett","Cornwell"
513,"Duane","Tubbs"
533,"Jessie","Milam"
39,"Debra","Nelson"
42,"Carolyn","Perez"
89,"Julia","Flores"
103,"Gladys","Hamilton"
157,"Darlene","Rose"
163,"Cathy","Spencer"
167,"Sally","Pierce"
186,"Holly","Fox"
209,"Tonya","Chapman"
242,"Glenda","Frazier"
314,"George","Linton"
356,"Gerald","Fultz"
361,"Lawrence","Lawton"
371,"Billy","Poulin"
393,"Philip","Causey"
404,"Stanley","Scroggins"
424,"Kyle","Spurlock"
442,"Leroy","Bustamante"
452,"Tom","Milner"
479,"Zachary","Hite"
499,"Marc","Outlaw"
560,"Jordan","Archuleta"
592,"Terrance","Roush"
595,"Terrence","Gunderson"
7,"Maria","Miller"
52,"Julie","Sanchez"
71,"Kathy","James"
87,"Wanda","Patterson"
90,"Ruby","Washington"
107,"Florence","Woods"
108,"Tracy","Cole"
112,"Rosa","Reynolds"
132,"Esther","Crawford"
135,"Juanita","Mason"
207,"Gertrude","Castillo"
239,"Minnie","Romero"
265,"Jennie","Terry"
273,"Priscilla","Lowe"
295,"Daisy","Bates"
306,"Charles","Kowalski"
349,"Joe","Gilliland"
363,"Roy","Whiting"
386,"Todd","Tan"
388,"Craig","Morrell"
397,"Jimmy","Schrader"
416,"Jeffery","Pinson"
444,"Marcus","Hidalgo"
446,"Theodore","Culp"
467,"Alvin","Deloach"
481,"Herman","Devore"
485,"Clyde","Tobias"
503,"Angel","Barclay"
506,"Leslie","Seward"
529,"Erik","Guillen"
535,"Javier","Elrod"
558,"Jimmie","Eggleston"
559,"Everett","Banda"
573,"Byron","Box"
13,"Karen","Jackson"
20,"Sharon","Robinson"
23,"Sarah","Lewis"
25,"Deborah","Walker"
72,"Theresa","Watson"
96,"Diana","Alexander"
113,"Cindy","Fisher"
115,"Wendy","Harrison"
131,"Monica","Hicks"
139,"Amber","Dixon"
145,"Lucille","Holmes"
146,"Jamie","Rice"
154,"Michele","Grant"
160,"Erin","Dunn"
166,"Lynn","Payne"
173,"Audrey","Ray"
187,"Brittany","Riley"
206,"Terri","Vasquez"
213,"Gina","Williamson"
221,"Bessie","Morrison"
262,"Patsy","Davidson"
263,"Hilda","Hopkins"
274,"Naomi","Jennings"
376,"Randy","Gaither"
408,"Manuel","Murrell"
436,"Troy","Quigley"
441,"Mario","Cheatham"
447,"Clifford","Bowens"
448,"Miguel","Betancourt"
457,"Bill","Gavin"
461,"Derek","Blakely"
484,"Roberto","Vu"
497,"Gilbert","Sledge"
538,"Ted","Breaux"
563,"Ken","Prewitt"
565,"Jaime","Nettles"
569,"Dave","Gardiner"
574,"Julian","Vest"
579,"Daryl","Larue"
584,"Salvador","Teel"
588,"Marion","Ocampo"
591,"Kent","Arsenault"
2,"Patricia","Johnson"
12,"Nancy","Thomas"
31,"Brenda","Wright"
32,"Amy","Lopez"
40,"Amanda","Carter"
45,"Janet","Phillips"
54,"Teresa","Rogers"
56,"Gloria","Cook"
57,"Evelyn","Morgan"
74,"Denise","Kelly"
92,"Tina","Simmons"
116,"Victoria","Gibson"
179,"Dana","Hart"
200,"Jeanne","Lawson"
202,"Carla","Gutierrez"
214,"Kristin","Johnston"
245,"Courtney","Day"
253,"Terry","Carlson"
266,"Nora","Herrera"
297,"Sherri","Rhodes"
300,"John","Farnsworth"
302,"Michael","Silverman"
332,"Stephen","Qualls"
377,"Howard","Fortner"
396,"Earl","Shanks"
407,"Dale","Ratcliff"
423,"Alfred","Casillas"
426,"Bradley","Motley"
434,"Eddie","Tomlin"
471,"Dean","Sauer"
472,"Greg","Robins"
482,"Maurice","Crawley"
487,"Hector","Poindexter"
512,"Cecil","Vines"
515,"Andre","Rapp"
577,"Clifton","Malcolm"
580,"Ross","Grey"
6,"Jennifer","Davis"
16,"Sandra","Martin"
36,"Kathleen","Adams"
41,"Stephanie","Mitchell"
63,"Ashley","Richardson"
111,"Carmen","Owens"
121,"Josephine","Gomez"
126,"Ellen","Simpson"
133,"Pauline","Henry"
149,"Valerie","Black"
151,"Megan","Palmer"
171,"Dolores","Wagner"
188,"Melanie","Armstrong"
190,"Yolanda","Weaver"
208,"Lucy","Wheeler"
219,"Willie","Howell"
220,"Charlene","Alvarez"
228,"Allison","Stanley"
229,"Tamara","Nguyen"
234,"Claudia","Fuller"
251,"Vickie","Brewer"
256,"Mabel","Holland"
264,"Gwendolyn","May"
275,"Carole","Barnett"
309,"Christopher","Greco"
323,"Matthew","Mahan"
334,"Raymond","Mcwhorter"
